vii,type,Institution name,Alt1,Alt2,Alt3,Alt4,Alt5,Alt6,Alt7,Alt8,Alt9,Alt10
US,Academia,Arizona State University,ASU,"Arizona State Univerisity,",,,,,,,,
US,Academia,Boston University,,,,,,,,,,
US,Academia,Brandeis University,,,,,,,,,,
US,Academia,Brigham Young University,BYU,,,,,,,,,
US,Academia,Brown University,,,,,,,,,,
US,Academia,Caltech,California Institute of Technology,California Instit ute of Technology,,,,,,,,
US,Academia,Carnegie Mellon,Carnegie Mellon University,Carnegie-Mellon University,CMU,@andrew.cmu.edu,cmu.edu,,,,,
US,Academia,College of William & Mary,,,,,,,,,,
US,Academia,Colorado State University,"Colorado State University, Fort Collins",,,,,,,,,
US,Academia,Columbia University,Columbia University in the City of New York,"Columbia University, Teachers College",,,,,,,,
US,Academia,Cornell,Cornell Tech,Cornell University,@cornell.edu,,,,,,,
US,Academia,Dartmouth College,Dartmouth,,,,,,,,,
US,Academia,Duke University,,,,,,,,,,
US,Academia,Florida State University,,,,,,,,,,
US,Academia,Franklin. W. Olin College of Engineering,,,,,,,,,,
US,Academia,George Mason University,,,,,,,,,,
US,Academia,Georgetown University,,,,,,,,,,
US,Academia,Georgia Institute of Technology,Georgia Tech,GeorgiaTech,Georgia Institute of Tech.,Georgia Institute of Tech,,,,,,
US,Academia,Georgia State University,,,,,,,,,,
US,Academia,Harvard University,Harvard Medical School,@SEAS.HARVARD.EDU,@PHYSICS.HARVARD.EDU,,,,,,,
US,Academia,Indiana University,"Indiana University, Bloomington",,,,,,,,,
US,Academia,Iowa State University,,,,,,,,,,
US,Academia,Johns Hopkins University,,,,,,,,,,
US,Academia,Massachusetts Institute of Technology,MIT,Massachussetts Inst . of Technology,Massachussetts Inst. of Technology,M .I.T.,M.I.T.,mit.edu,,,,
US,Academia,McGill University,,,,,,,,,,
US,Academia,Michigan State University,,,,,,,,,,
US,Academia,Michigan Technological University,,,,,,,,,,
US,Academia,New York University,nyu.edu,NYU,,,,,,,,
US,Academia,North Carolina State University,NCSU,,,,,,,,,
US,Academia,Northeastern University,,,,,,,,,,
US,Academia,Northwestern University,,,,,,,,,,
US,Academia,Ohio State University,,,,,,,,,,
US,Academia,Oklahoma State University,,,,,,,,,,
US,Academia,Oregon Graduate Institute of Science and Technology,Oregon Graduate Institute,,,,,,,,,
US,Academia,Oregon Health & Science University,,,,,,,,,,
US,Academia,Oregon State University,,,,,,,,,,
US,Academia,Pennsylvania State University,PSU,Penn State,Penn State University,"Pennsylvania State University, The, University Park and Hershey Medical Center",,,,,,
US,Academia,Princeton University,Princeton University and Institute for Advanced Study,,,,,,,,,
US,Academia,Purdue University,"Purdue University, West Lafayette",Purdue University,,,,,,,,
US,Academia,Rensselaer Polytechnic Institute,RPI,,,,,,,,,
US,Academia,Rice University,,,,,,,,,,
US,Academia,Rutgers University,"Rutgers, The State University of New Jersey, New Brunswick","Rutgers, The State University of New Jersey, Newark",Rutgers,,,,,,,
US,Academia,Santa Clara University,scu.edu,,,,,,,,,
US,Academia,Stanford University,stanford.edu,@CS.STANFORD.EDU,Stanford,,,,,,,
US,Academia,Stony Brook University,State University of New York at Stony Brook,SUNY at Stony Brook,,,,,,,,
US,Academia,SUNY Buffalo,State University of New York at Buffalo,SUNY at Buffalo,,,,,,,,
US,Academia,Syracuse University,,,,,,,,,,
US,Academia,Temple University,Temple Univ.,,,,,,,,,
US,Academia,Tufts University,,,,,,,,,,
US,Academia,UC Berkeley,University of California at Berkeley,"Computer Science Division, University Of California","University of California, Berkeley",U.C. Berkeley,ICSI,International Computer Science Institute,U .C. Berkeley,U.C.Berkeley,berkeley.edu,@EECS.BERKELEY.EDU
US,Academia,UC Davis,"University of California, Davis",,,,,,,,,
US,Academia,UC Irvine,"University of California, Irvine","Univ. of California, Irvine",University of California Irvine,@uci.edu,,,,,,
US,Academia,UC Los Angeles,,,,,,,,,,
US,Academia,UC Merced,"University of California, Merced",@ucmerced.edu,,,,,,,,
US,Academia,UC San Diego,"University of California, San Diego",UCSD,ucsd.edu,,,,,,,
US,Academia,UC San Francisco,"University of California, San Francisco",,,,,,,,,
US,Academia,UC Santa Barbara,University of California Santa Barbara,UCSB,"University of California, Santa Barbara",,,,,,,
US,Academia,UC Santa Cruz,Univ. of Calif. at Santa Cruz,UCSC,ucsc.edu,,,,,,,
US,Academia,University at Albany,Univ at Albany,Univ. at Albany,State University of New York University at Albany,College of Nanoscale Science and Engineering of the University at Albany SUNY,,,,,,
US,Academia,University at Buffalo,Univ at Buffalo,Univ. at Buffalo,Univeristy at Buffalo,,,,,,,
US,Academia,University of Arizona,Univ of Arizona,Univ. of Arizona,,,,,,,,
US,Academia,"University of California, Los Angeles","Univ of California, Los Angeles","Univ. of California, Los Angeles",UCLA,@cs.ucla.edu,", University of California at Los Angeles",@ucla.edu,,,,
US,Academia,University of Chicago,Univ of Chicago,Univ. of Chicago,,,,,,,,
US,Academia,University of Colorado,,,,,,,,,,
US,Academia,University of Florida,Univ of Florida,Univ. of Florida,,,,,,,,
US,Academia,University of Hawaii,University of Hawaii at Manoa,,,,,,,,,
US,Academia,University of Illinois at Chicago,Univ of Illinois at Chicago,Univ. of Illinois at Chicago,,,,,,,,
US,Academia,University of Illinois at Urbana-Champaign,Univ of Illinois at Urbana-Champaign,Univ. of Illinois at Urbana-Champaign,"University of Illinois, Urbana",University of Illinois,UIUC,illinois.edu,,,,
US,Academia,University of Iowa,Univ of Iowa,Univ. of Iowa,,,,,,,,
US,Academia,University of Maryland,Univ of Maryland,Univ. of Maryland,"University of Maryland, College Park",,,,,,,
US,Academia,University of Massachusetts Amherst,Univ of Massachusetts Amherst,Univ. of Massachusetts Amherst,University of Massachusetts,,,,,,,
US,Academia,University of Michigan,Univ of Michigan,Univ. of Michigan,"University of Michigan, Ann Arbor",,,,,,,
US,Academia,University of Minnesota,Univ of Minnesota,Univ. of Minnesota,"University of Minnesota, Twin Cities",,,,,,,
US,Academia,University of Missouri,Univ of Missouri,Univ. of Missouri,,,,,,,,
US,Academia,University of New Mexico,,,,,,,,,,
US,Academia,University of North Carolina,Univ of North Carolina,Univ. of North Carolina,"University of North Carolina at Chapel Hill, The",,,,,,,
US,Academia,University of North Carolina at Chapel Hill,Univ of North Carolina at Chapel Hill,Univ. of North Carolina at Chapel Hill,,,,,,,,
US,Academia,University of North Texas,"University of North Texas, Denton",,,,,,,,,
US,Academia,University of Notre Dame,Univ of Notre Dame,Univ. of Notre Dame,,,,,,,,
US,Academia,University of Pennsylvania,Univ of Pennsylvania,Univ. of Pennsylvania,,,,,,,,
US,Academia,University of Pittsburgh,Univ of Pittsburgh,Univ. of Pittsburgh,,,,,,,,
US,Academia,University of Rochester,Univ of Rochester,Univ. of Rochester,,,,,,,,
US,Academia,University of Southern California,Univ of Southern California,Univ. of Southern California,U. of Southern California,USC,,,,,,
US,Academia,University of Texas at Arlington,,,,,,,,,,
US,Academia,University of Texas at Austin,Univ of Texas at Austin,Univ. of Texas at Austin,"UT at Austin, USA",utexas.edu,"The University of Texas, Austin",@CS.UTEXAS.EDU,@cs.utexas.edu,UT Austin,UT-Austin,
US,Academia,University of Utah,Univ of Utah,Univ. of Utah,@sci.utah.edu,,,,,,,
US,Academia,University of Vermont,,,,,,,,,,
US,Academia,University of Virginia,Univ of Virginia,Univ. of Virginia,,,,,,,,
US,Academia,University of Washington,Univ of Washington,Univ. of Washington,"University of Washington, Seattle",@cs.washington.edu,,,,,,
US,Academia,University of Wisconsin-Madison,Univ of Wisconsin-Madison,Univ. of Wisconsin-Madison,"University of Wisconsin, Madison",University of Wisconsin?Madison,wisc.edu,University of Wisconsin,,,,
US,Academia,UT Arlington,,,,,,,,,,
US,Academia,UT Dallas,University of Texas at Dallas,University of Texas at Dallas,Univ. of Texas Dallas,University of Texas (Dallas),,,,,,
US,Academia,Virginia Tech,,,,,,,,,,
US,Academia,Wake Forest University,,,,,,,,,,
US,Academia,Washington University in St. Louis,WUSTL,Washington University School of Medicine,Washington U.,Washington University in St Louis,,,,,,
US,Academia,West Virginia University,,,,,,,,,,
US,Academia,Willamette University,,,,,,,,,,
US,Academia,Wright State University,,,,,,,,,,
US,Academia,Yale University,,,,,,,,,,
US,Academia,"Texas A&M University, College Station",Texas A&M University,,,,,,,,,
US,Academia,"University of Texas M.D.Anderson Cancer Center, The",,,,,,,,,,
US,Academia,Vanderbilt,Vanderbilt U. and Vanderbilt U. Medical Center,,,,,,,,,
US,Academia,Emory University,,,,,,,,,,
US,Academia,Baylor College of Medicine,,,,,,,,,,
US,Academia,Virginia Polytechnic Institute and State University,,,,,,,,,,
US,Academia,"University of South Florida, Tampa",University of South Florida,@mail.usf.edu,@usf.edu,,,,,,,
US,Academia,"University of Alabama at Birmingham, The",,,,,,,,,,
US,Academia,Mount Sinai School of Medicine,,,,,,,,,,
US,Academia,"University of Texas Southwestern Medical Center, The",,,,,,,,,,
US,Academia,University of Cincinnati,,,,,,,,,,
US,Academia,Case Western Reserve University,,,,,,,,,,
US,Academia,University of Georgia,,,,,,,,,,
US,Academia,"Scripps Research Institute, The",,,,,,,,,,
US,Academia,University of Miami,,,,,,,,,,
US,Academia,University of Kentucky,,,,,,,,,,
US,Academia,Washington State University,,,,,,,,,,
US,Academia,"Rockefeller University, The",,,,,,,,,,
US,Academia,University of Kansas,,,,,,,,,,
US,Academia,"Louisiana State University, Baton Rouge",,,,,,,,,,
US,Academia,Bryn Mawr College,,,,,,,,,,
US,Academia,University of Oregon,cs.uoregon.edu,,,,,,,,,
US,Academia,UC Riverside,"University of California, Riverside",@CS.USR.EDU,,,,,,,,
US,Academia,University of Lousiana at Lafayette,,,,,,,,,,
US,Academia,Harvey Mudd College,,,,,,,,,,
US,Academia,Loyola Marymount University,,,,,,,,,,
US,Academia,North Carolina A&T State University,,,,,,,,,,
US,Academia,University of Masschusetts Lowell,,,,,,,,,,
US,Academia,Rochester Institute of Technology,,,,,,,,,,
US,Academia,The University of Southern Mississippi,,,,,,,,,,
US,Academia,University of New Hampshire,,,,,,,,,,
US,Academia,University of Nebraska-Lincoln,@cse.unl.edu,,,,,,,,,
US,Academia,Catholic University of America,,,,,,,,,,
US,Academia,University of Central Arkansas,,,,,,,,,,
US,Academia,University of Hartford,@hartford.edu,,,,,,,,,
US,Academia,University of Connecticut,@uconn.edu,uconn,,,,,,,,
US,Academia,University of Denver,,,,,,,,,,
US,Academia,Texas Tech University,@ttu.edu,,,,,,,,,
US,Academia,Southern Illinois University,,,,,,,,,,
US,Academia,University of Houston,,,,,,,,,,
US,Academia,New Mexico State University,,,,,,,,,,
US,Academia,University of Central Florida,,,,,,,,,,
US,Academia,Mississippi State University,,,,,,,,,,
US,Academia,University of Akron,,,,,,,,,,
US,Academia,Kansas State University,,,,,,,,,,
US,Academia,University of Delaware,,,,,,,,,,
US,Company,Adobe,,,,,,,,,,
US,Company,Amazon,,,,,,,,,,
US,Company,Apple,Apple Computer,,,,,,,,,
US,Company,"Arithmos, Inc.",,,,,,,,,,
US,Company,ASAPP,,,,,,,,,,
US,Company,AT &T Bell Laboratories,Bell Labs,AT&T,BellLabs,Bellcore,Bell Laboratories,,,,,
US,Company,Citadel,,,,,,,,,,
US,Company,DE Shaw,,,,,,,,,,
US,Company,Disney,disneyresearch.com,,,,,,,,,
US,Company,DuPont Pharmaceuticals,,,,,,,,,,
US,Company,Expedia,,,,,,,,,,
US,Company,ExxonMobil,,,,,,,,,,
US,Company,Facebook,fb.com,FAIR,Facebook AI Research,,,,,,,
US,Company,Google,Google Brain,Google Research,Deepmind,DeepMind Technologies,DeepMind,@google.com,Google DeepMind,,,
US,Company,Hearst,,,,,,,,,,
US,Company,IBM,,,,,,,,,,
,,,,,,,,,,,,
US,Company,International Remote Imaging Systems,,,,,,,,,,
US,Company,Kodak,"Business Imaging Systems, Eastman Kodak Company",,,,,,,,,
US,Company,Language Computer Corporation,,,,,,,,,,
US,Company,LinkedIn,,,,,,,,,,
US,Company,LogicBlox,,,,,,,,,,
US,Company,Lucent,Lucent Technologies,,,,,,,,,
US,Company,Microelectronics and Computer Technology Corporation,MCC,,,,,,,,,
US,Company,Microsoft,Microsoft Research,"Microsoft Research, Cambridge, UK",Microsoft Research Cambridge,,,,,,,
US,Company,N.A.P. Inc.,,,,,,,,,,
US,Company,"Nestor, Inc.",,,,,,,,,,
US,Company,Northrop Grumman Corp.,NGC,ngc.com,,,,,,,,
US,Company,NVIDIA,,,,,,,,,,
US,Company,Pavilion Technologies,,,,,,,,,,
US,Company,Petuum,,,,,,,,,,
US,Company,Salesforce,salesforce.com,,,,,,,,,
US,Company,Sarnoff Corporation,,,,,,,,,,
US,Company,"SAS Institute, Inc.",,,,,,,,,,
US,Company,Science Applications International Corporation,,,,,,,,,,
US,Company,"Siemens Corporate Research, Inc.",siemens.com,,,,,,,,,
US,Company,Sun Microsystems,Sun Labs,,,,,,,,,
US,Company,Synaptics,"Synaptics, Inc.",,,,,,,,,
US,Company,Thinking Machines Corporation,,,,,,,,,,
US,Company,Twitter,,,,,,,,,,
US,Company,Uber,,,,,,,,,,
US,Company,Vicarious FPC Inc.,Vicarious,,,,,,,,,
US,Company,Yahoo! Inc.,Yahoo! Research,Yahoo Research,Yahoo! Labs,,,,,,,
US,Company,VMWare,,,,,,,,,,
US,Company,Basis Technology,,,,,,,,,,
US,Company,Netflix,,,,,,,,,,
US,Company,iRobot,@irobot.com,,,,,,,,,
US,Company,Raytheon,Raytheon BBN Technologies,,,,,,,,,
US,Company,Accenture,Accenture Technology Labs,,,,,,,,,
US,Company,Nuance Communications,,,,,,,,,,
US,Company,Autodesk,Autodesk Research,,,,,,,,,
US,Company,General Electric,GE Global Research (GRC),,,,,,,,,
US,Government,Berkeley Lab,,,,,,,,,,
US,Government,Brookhaven National Laboratory,,,,,,,,,,
US,Government,Los Alamos National Lab,,,,,,,,,,
US,Government,NASA,NASA Ames Research Center,,,,,,,,,
US,Government,National Eye Institute,,,,,,,,,,
US,Government,National Institute of Mental Health,,,,,,,,,,
US,Government,Naval Health Research Center,,,,,,,,,,
US,Government,Naval Ocean Systems Center,,,,,,,,,,
US,Government,Naval Research Laboratory,,,,,,,,,,
US,Government,NIH,,,,,,,,,,
US,Government,Oak Ridge National Laboratories,Oak Ridge Natl. Lab.,,,,,,,,,
US,Government,United States Naval Academy,,,,,,,,,,
US,Government,Air Force Institute of Technology,,,,,,,,,,
US,Independent Research,Cold Spring Harbor Lab,Cold Spring Harbor Laboratory],,,,,,,,,
US,Independent Research,Flatiron Institute,,,,,,,,,,
US,Independent Research,Howard Hughes Medical Institute,Hughes Medical Institute,,,,,,,,,
US,Independent Research,Laureate Institute for Brain Research,,,,,,,,,,
US,Independent Research,Mayo Clinic,,,,,,,,,,
US,Independent Research,Open AI,openai.com,OpenAI,,,,,,,,
US,Independent Research,Salk Institute,Salk Institute for Biological Studies,The Salk Institute,,,,,,,,
US,Independent Research,Santa Fe Institute,,,,,,,,,,
US,Independent Research,Smith-Kettlewell Eye Research Inst.,,,,,,,,,,
US,Independent Research,SRI International,,,,,,,,,,
US,Independent Research,Memorial Sloan Kettering Cancer Center,Sloan Kettering Institute,,,,,,,,,
US,Independent Research,Criteo Research,,,,,,,,,,
US,Independent Research,Palo Alto Research Center,,,,,,,,,,
China,Company,CloudWalk,,,,,,,,,,
China,Company,Yitu,,,,,,,,,,
China,Company,Megvii,Face++,@megvii.com,Megvii Technology Inc.,Megvii Technology,Megvii Inc (Face++),(Face++),,,,
South Korea,Academia,Kyungpook National University,,,,,,,,,,
Israel,Academia,University of Haifa,,,,,,,,,,
China,Academia,Nankai University,,,,,,,,,,
Italy,Academia,University of L’Aquila,,,,,,,,,,
Greece,Academia,University of Patras,,,,,,,,,,
UK,Academia,University of Liverpool,,,,,,,,,,
UK,Academia,Durham University,,,,,,,,,,
US,Academia,City University of New York,,,,,,,,,,
UK,Academia,University of Essex,,,,,,,,,,
Denmark,Academia,Aarhus University,,,,,,,,,,
US,Academia,University of Louisville,,,,,,,,,,
UK,Academia,University of Bath,"University of Bath,",,,,,,,,,
Italy,Academia,University of Bologna,,,,,,,,,,
US,Academia,The University of Tennessee,"The University of Tennessee,",,,,,,,,,
China,Academia,Southeast University,,,,,,,,,,
Spain,Academia,University of Granada,,,,,,,,,,
UK,Academia,University of Surrey,,,,,,,,,,
Netherlands,Academia,Delft University of Technology,,,,,,,,,,
Turkey,Academia,¨Ozyeˇgin University,Özyeğin University,,,,,,,,,
China,Academia,Beihang University,,,,,,,,,,
South Korea,Independent Research,Korea Advanced Institute of Science and Technology,,,,,,,,,,
China,Academia,South China University of Technology,@scut.edu.cn,,,,,,,,,
China,Academia,Chongqing University,,,,,,,,,,
China,Academia,Tongji University,,,,,,,,,,
China,Academia,University of Electronic Science and Technology of China,UESTC,,,,,,,,,
China,Academia,Xiamen University,,,,,,,,,,
China,Government,Fujian Key Laboratory of Sensing and Computing for Smart City,,,,,,,,,,
US,Company,i2k Connect,,,,,,,,,,
US,Company,Intuit Inc.,Intuit,,,,,,,,,
US,Company,MassMutual,,,,,,,,,,
US,Company,Aspiring Minds,aspiringminds.com,,,,,,,,,
Japan,Company,Hitachi Ltd.,Hitachi,,,,,,,,,
US,Company,American Family Insurance,,,,,,,,,,
Austria,Academia,Technische Universität Wien (TU Wien),TU Wien,,,,,,,,,
US,Company,Lockheed Martin,,,,,,,,,,
Norway,Academia,Norwegian University of Science and Technology,(NTNU),,,,,,,,,
US,Academia,DePauw University,,,,,,,,,,
US,Academia,Auburn University,,,,,,,,,,
Japan,Academia,Tokyo University of Agriculture and Technology,,,,,,,,,,
South Korea,Academia,Chungbuk National University,,,,,,,,,,
US,Academia,Cisco Systems,Cisco,,,,,,,,,
UAE,Government,Inception Institute of Artiﬁcial Intelligence,@inceptioniai.org,,,,,,,,,
US,Academia,Illinois Institute of Technology,,,,,,,,,,
Netherlands,Academia,VU University Amsterdam,,,,,,,,,,
China,Academia,Wuhan University of Technology,,,,,,,,,,
Italy,Academia,University of Calabria,,,,,,,,,,
Germany,Academia,University of Mannheim,,,,,,,,,,
Canada,Academia,University of Western Ontario,,,,,,,,,,
US,Academia,New Jersey Institute of Technology,,,,,,,,,,
China,Company,JD.com,JD,@jd.com,Jingdong,,,,,,,
China,Company,IIIT Delhi,,,,,,,,,,
China,Company,Didi,Didi Chuxing,,,,,,,,,
China,Company,Ant Financial,,,,,,,,,,
US,Academia,Boise State University,,,,,,,,,,
US,Independent Research,Allen Institute for Artiﬁcial Intelligence,Allen Institute,,,,,,,,,
US,Company,KenSci,@kensci.com,,,,,,,,,
US,Company,SAP,@sap.com,,,,,,,,,
China,Government,Collaborative Innovation Center of Geospatial Technology,,,,,,,,,,
China,Academia,Nanchang University,,,,,,,,,,
US,Academia,Florida International University,,,,,,,,,,
China,Company,Cainiao,@cainiao.com,,,,,,,,,
China,Government,Hunan Engineering Research Center of Machine Vision and Intelligent Medicine,,,,,,,,,,
China,Academia,University of S&T of China,@ustc.edu.cn,,,,,,,,,
US,Company,Cycorp,@cyc.com,,,,,,,,,
Portugal,Academia,University of Lisbon,,,,,,,,,,
US,Academia,Swarthmore College,,,,,,,,,,
US,Academia,Louisiana State University,@lsu.edu,,,,,,,,,
US,Company,Ctrip,,,,,,,,,,
India,Academia,IIIT Delhi,,,,,,,,,,
India,Academia,IIIT Bombay,,,,,,,,,,
Australia,Academia,University of Wollongong,,,,,,,,,,
South Korea,Academia,Korea University,,,,,,,,,,
US,Academia,University of South Carolina,,,,,,,,,,
UK,Academia,University of Lincoln,,,,,,,,,,
Germany,Academia,University of Siegen,,,,,,,,,,
Lebanon,Academia,American University of Beirut,,,,,,,,,,
Japan,Academia,Waseda University,,,,,,,,,,
US,Government,Air Force Research Laboratory,@us.af.mil,Air Force Research Lab,@us.af,,,,,,,
US,Government,U.S. Army Research Laboratory,CCDC Army Research Laboratory,US Army Research Lab Adelphi,US Army Research Lab,civ@mail.mil,@mail.mil,,,,,
US,Government,Space and Naval Warfare Systems Center,@navy.mil,,,,,,,,,
US,Academia,The University of Texas at El Paso,UTEP,@utep.edu,,,,,,,,
China,Company,Xiaomi,,,,,,,,,,
China,Company,Netease,NetEase,,,,,,,,,
China,Company,Sina,,,,,,,,,,
China,Company,Sohu,,,,,,,,,,
China,Company,Meitu,,,,,,,,,,
China,Company,Suning,,,,,,,,,,
China,Company,iFlyTek,Keda Xunfei,,,,,,,,,
Germany,Company,Daimler,@daimler.com,,,,,,,,,
US,Company,Walmart Labs,,,,,,,,,,
Iran,Academia,Sharif University of Technology,,,,,,,,,,
US,Company,Intel AI Lab,,,,,,,,,,
US,Government,Oak Ridge National Lab,,,,,,,,,,
China,Company,ByteDance,,,,,,,,,,
US,Company,Airbnb,,,,,,,,,,
