author_name,neurips_2019_affil
Qinghua Hu,Tianjin University
Xihui Liu,The Chinese University of Hong Kong
Guojun Yin,University of Science and Technology of China
Jing Shao,Sensetime
Xiaogang Wang,The Chinese University of Hong Kong
hongsheng Li,cuhk
Andrey Kolobov,Microsoft Research
Yuval Peres,N/A
Cheng Lu,Microsoft
Eric Horvitz,Microsoft Research
Nikolas Ioannou,IBM Research
Celestine Mendler-Dünner,UC Berkeley
Thomas Parnell,IBM Research
Artem Sobolev,Samsung AI Center Moscow
Dmitry Vetrov,"Higher School of Economics, Samsung AI Center, Moscow"
Robert Gower,"Institut Polytechnique de Paris, Telecom Paris"
Dmitry Koralev,KAUST
Felix Lieder,Heinrich-Heine-Universität Düsseldorf
Peter Richtarik,KAUST
Yuhui Wang,Nanjing University of Aeronautics and Astronautics
Hao He,Nanjing University of Aeronautics and Astronautics
Xiaoyang Tan,"Nanjing University of Aeronautics and Astronautics, China"
Yaozhong Gan,"Nanjing University of Aeronautics and Astronautics, China"
Dina Bashkirova,Boston University
Ben Usman,Boston University
Kate Saenko,Boston University
Othmane Sebbouh,Télécom ParisTech
Nidham Gazagnadou,Télécom Paris
Samy Jelassi,Princeton University
Francis Bach,INRIA - Ecole Normale Superieure
Armin Lederer,Technical University of Munich
Jonas Umlauft,Technical University of Munich
Sandra Hirche,Technische Universitaet Muenchen
Chunjin Song,Shenzhen University
Zhijie Wu,Shenzhen University
Yang Zhou,Shenzhen University
Minglun Gong,Memorial Univ
Hui Huang,Shenzhen University
Max Vladymyrov,Google Research
Shaojie Bai,Carnegie Mellon University
J. Zico Kolter,Carnegie Mellon University / Bosch Center for AI
Vladlen Koltun,Intel Labs
Gamaleldin Elsayed,"Google Research, Brain Team"
Simon Kornblith,Google Brain
Miaoyan Wang,University of Wisconsin - Madison
Yuchen Zeng,University of Wisconsin - Madison
Wang Chi Cheung,"Department of Industrial Systems Engineering and Management, National University of Singapore"
Yong Guo,South China University of Technology
Yin Zheng,"WeChat, Tencent"
Mingkui Tan,South China University of Technology
Qi Chen,South China University of Technology
Jian Chen,"""South China University of Technology, China"""
Peilin Zhao,Tencent AI Lab
Ruidi Chen,Boston University
Ioannis Paschalidis,Boston University
Xuanyi Dong,University of Technology Sydney
Yi Yang,UTS
Junbang Liang,"University of Maryland, College Park"
Ming Lin,University of Maryland - College Park
Aaron Schein,UMass Amherst
Scott Linderman,Stanford University
Mingyuan Zhou,University of Texas at Austin
David Blei,Columbia University
Hanna Wallach,MSR NYC
Gengshan Yang,Carnegie Mellon University
Deva Ramanan,Carnegie Mellon University
Adrian Dalca,"MIT, HMS"
Marianne Rakic,MIT/ETH Zürich
John Guttag,Massachusetts Institute of Technology
Mert Sabuncu,Cornell
Han Liu,Tsinghua University
Zhizhong Han,"University of Maryland, College Park"
Yu-Shen Liu,Tsinghua University
Ming Gu,Tsinghua University
Zhao Song,UT-Austin
Ruosong Wang,Carnegie Mellon University
Lin Yang,Johns Hopkins University
Hongyang Zhang,TTIC
Peilin Zhong,Columbia University
Remi Cadene,Sorbonne University - LIP6
Corentin Dancette,Sorbonne Université
Hedi Ben younes,Université Pierre & Marie Curie / Heuritech
Jinwoo Choi,Virginia Tech
Chen Gao,Virginia Tech
Joseph C. E. Messou,Virginia Tech
Jia-Bin Huang,Virginia Tech
Yichao Zhou,UC Berkeley
Haozhi Qi,UC Berkeley
Jingwei Huang,Stanford University
Yi Ma,UC Berkeley
Jianlong Chang,"National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences"
xinbang zhang,"Institute of Automation,Chinese  Academy of Science"
Yiwen Guo,Bytedance AI Lab
GAOFENG MENG,"Institute of Automation, Chinese Academy of Sciences"
SHIMING XIANG,"Chinese Academy of Sciences, China"
Chunhong Pan,"Institute of Automation, Chinese Academy of Sciences"
Tingting Qiao,Zhejiang University
Duanqing Xu,Zhejiang University
Miao Zhang,Dalian University of Technology
Jingjing Li,Dalian University of Technology
Wei Ji,Dalian University of Technology
Yongri Piao,Dalian University of Technology
Huchuan Lu,Dalian University of Technology
Xuesong Niu,"Institute of Computing Technology, CAS"
Hu Han,"ICT, CAS"
Shiguang Shan,Chinese Academy of Sciences
Xilin Chen,"Institute of Computing Technology, Chinese Academy of Sciences"
Natalia Neverova,Facebook AI Research
David Novotny,Facebook AI Research
Andrea Vedaldi,Facebook AI Research and University of Oxford
Chris Wendler,ETH Zurich
Markus Püschel,ETH Zurich
Dan Alistarh,IST Austria & NeuralMagic
Arsenii Vanunts,Yandex
Alexey Drutsa,Yandex
Hadrien Hendrikx,INRIA - PSL
Laurent Massoulié,Inria
Zhijian Liu,MIT
Haotian Tang,Shanghai Jiao Tong University
Yujun Lin,MIT
Song Han,MIT
Mohamed Akrout,University of Toronto
Collin Wilson,University of Toronto
Peter Humphreys,Deepmind
Douglas B Tweed,University of Toronto
Aadirupa Saha,Indian Institute of Science
Aditya Gopalan,Indian Institute of Science
Tao Sun,National university of defense technology
Yuejiao Sun,"University of California, Los Angeles"
Dongsheng Li,"School of Computer Science, National University of Defense Technology"
Qing Liao,Harbin Institute of Technology (Shenzhen)
Leonidas J Guibas,stanford.edu
Qixing Huang,The University of Texas at Austin
Zhenxiao Liang,The University of Texas at Austin
Nicki Skafte,Technical University of Denmark
Søren Hauberg,Technical University of Denmark
Hedi Hadiji,"Laboratoire de Mathematiques d’Orsay, Univ. Paris-Sud,"
LU LIU,University of Technology Sydney
Tianyi Zhou,"University of Washington, Seattle"
Guodong Long,University of Technology Sydney (UTS)
Jing Jiang,University of Technology Sydney
Chengqi Zhang,University of Technology Sydney
Sepehr Assadi,Princeton University
Eric Balkanski,Harvard University
Renato Leme,Google Research
Siqi Liu,University of Pittsburgh
Milos Hauskrecht,University of Pittsburgh
Chi Zhang,"University of California, Los Angeles"
Baoxiong Jia,UCLA
Feng Gao,UCLA
Yixin Zhu,"University of California, Los Angeles"
HongJing Lu,UCLA
Song-Chun Zhu,UCLA
Yu-Chia Chen,University of Washington
Marina Meila,University of Washington
Zhengyang Shen,University of North Carolina at Chapel Hill
Francois-Xavier Vialard,University Paris-Est
Marc Niethammer,UNC Chapel Hill
Chengguang Xu,Northeastern University
Ehsan Elhamifar,Northeastern University
Vincent Sitzmann,Stanford University
Michael Zollhoefer,Facebook Reality Labs
Gordon Wetzstein,Stanford University
Brett Daley,Northeastern University
Christopher Amato,Northeastern University
Fengxiang He,The University of Sydney
Tongliang Liu,The University of Sydney
Max Simchowitz,Berkeley
Kevin Jamieson,U Washington
Mitsuru Kusumoto,"Preferred Networks, Inc."
Takuya Inoue,University of Tokyo
Gentaro Watanabe,"Preferred Networks, Inc."
Takuya Akiba,"Preferred Networks, Inc."
Masanori Koyama,Preferred Networks Inc. 
Paul Hongsuck Seo,POSTECH
Geeho Kim,Seoul National University
Bohyung Han,Seoul National University
Chao Qu,Ant Financial Services Group
Shie Mannor,Technion
Huan Xu,Georgia Inst. of Technology
Yuan Qi,Ant Financial Services Group
Le Song,Georgia Institute of Technology
Junwu Xiong,Ant Financial Services Group
Shuang Wu,Tsinghua University
Guanrui Wang,Tsinghua University
Pei Tang,Tsinghua University
Feng Chen,Tsinghua University
Luping Shi,Tsinghua University
Dong Liu,University of Science and Technology of China
Haochen Zhang,University of Science and Technology of China
Zhiwei Xiong,University of Science and Technology of China
Dominic Richards,University of Oxford
Patrick Rebeschini,University of Oxford
Holden Lee,Princeton
Oren Mangoubi,Worcester Polytechnic Institute
Nisheeth Vishnoi,Yale University
Maria-Florina Balcan,Carnegie Mellon University
Travis Dick,TTIC
Ritesh Noothigattu,Carnegie Mellon University
Ariel Procaccia,Carnegie Mellon University
Jack Serrino,MIT
Max Kleiman-Weiner,Harvard/MIT
David Parkes,Harvard University
Josh Tenenbaum,MIT
Anton Obukhov,ETH Zurich
Stamatios Georgoulis,ETH Zurich
Dengxin Dai,ETH Zurich
Luc V Gool,"Computer Vision Lab, ETH Zurich"
Shupeng Gui,University of Rochester
Haotao N Wang,Texas A&M University
Haichuan Yang,University of Rochester
Chen Yu,Indiana University
Zhangyang Wang,TAMU
Ji Liu,"University of Rochester, Tencent AI lab"
Jianwei Yang,Georgia Tech
Zhile Ren,Georgia Tech
Hongyuan Zhu,Astar
Ji Lin,MIT
Brandon Yang,Google Brain
Gabriel Bender,Google Brain
Danfei Xu,Stanford University
De-An Huang,Stanford University
Yuke Zhu,Stanford University
Li Fei-Fei,Stanford University
Mingming Gong,University of Melbourne
Yanwu Xu,University of Pittsburgh
Chunyuan Li,Microsoft Research
Kun Zhang,CMU
Kayhan Batmanghelich,University of Pittsburgh
Carl Yang,"University of Illinois, Urbana Champaign"
Peiye Zhuang,UIUC
Wenhan Shi,UIUC
Alan Luu,UIUC
Pan Li,Stanford
Chen Tessler,Technion
Guy Tennenholtz,Technion
Edith Cohen,Google
Ofir Geri,Stanford University
Pei Wang,UC San Diego
Nuno Nvasconcelos,UC San Diego
Eugene Ndiaye,Riken AIP
Ichiro Takeuchi,Nagoya Institute of Technology
Stephan Rabanser,AWS AI Labs
Stephan Günnemann,Technical University of Munich
Zachary Lipton,Carnegie Mellon University
Siyuan Li,Tsinghua University
Rui Wang,Stanford University
Minxue Tang,Tsinghua University
Chongjie Zhang,Tsinghua University
Minne Li,University College London
Lisheng Wu,UCL
Jun WANG,UCL
Thang Vu,KAIST
Hyunjun Jang,KAIST
Trung X. Pham,KAIST
Chang Yoo,KAIST
Jian Sun,"Megvii, Face++"
Zongben Xu,Xi'an Jiaotong University
Mete Ozay,Independent Researcher (N/A)
Magauiya Zhussip,UNIST
Shakarim Soltanayev,Ulsan National Institute of Science and Technology
Se Young Chun,UNIST
Chris Russell,The Alan Turing Institute/ The University of Surrey
Matteo Toso,University of Surrey
Neill Campbell,University of Bath
Pascal Mettes,University of Amsterdam
Elise van der Pol,University of Amsterdam
Cees Snoek,University of Amsterdam
Ivan Glasser,Max Planck Institute of Quantum Optics
Ryan Sweke,Freie Universitaet Berlin
Nicola Pancotti,Max Planck Institute of Quantum Optics
Jens Eisert,Freie Universitaet Berlin
Ignacio Cirac,Max-Planck Institute of Quantum Optics
Naganand Yadati,Indian Institute of Science
Madhav Nimishakavi,Indian Institute of Science
Prateek Yadav,Indian Institute of Science
Vikram Nitin,Indian Institute of Science
Anand Louis,"Indian Institute of Science, Bengaluru"
Partha Talukdar,"Indian Institute of Science, Bangalore"
Zhize Li,King Abdullah University of Science and Technology (KAUST)
Pan Zhou,National University of Singapore
Xiaotong Yuan,Nanjing University of Information Science & Technology
Shuicheng Yan,National University of Singapore
Jiashi Feng,National University of Singapore
Antoine Wehenkel,ULiège
Gilles Louppe,University of Liège
Chundi Liu,Layer6 AI
Guangwei Yu,Layer6
Maksims Volkovs,Layer6 AI
Cheng Chang,Layer6 AI
Himanshu Rai,Layer6 AI
Junwei Ma,Layer6 AI
Satya Krishna Gorti,Layer6 AI
Kaidi Cao,Stanford University
Colin Wei,Stanford University
Adrien Gaidon,Toyota Research Institute
Nikos Arechiga,Toyota Research Institute
Tengyu Ma,Stanford University
Yuan Deng,Duke University
Jon Schneider,Google Research
Balasubramanian Sivan,Google Research
Muhan Zhang,Washington University; Facebook (now)
Shali Jiang,Washington University in St. Louis
Zhicheng Cui,Washington University in St. Louis
Roman Garnett,Washington University in St. Louis
Yixin Chen,UCLA
Mikhail Yurochkin,"IBM Research, MIT-IBM Watson AI Lab"
Sebastian Claici,MIT
Edward Chien,Massachusetts Institute of Technology
Farzaneh Mirzazadeh,"MIT-IBM Watson AI Lab, IBM Research"
Justin M Solomon,MIT
Rui Li,Rochester Institute of Technology
Boyi Li,Cornell University
Felix Wu,Cornell University
Kilian Weinberger,Cornell University / ASAPP Research
Serge Belongie,Cornell University
Shengyuan Hu,Cornell University
Tao Yu,Cornell University
Chuan Guo,Cornell University
Wei-Lun Chao,Cornell University          Ohio State University (OSU)
Xiangyu Xu,Carnegie Mellon University
Li Siyao,SenseTime Research
Wenxiu Sun,SenseTime Research
Qian Yin,Beijing Normal University
Bao Wang,UCLA
Zuoqiang  Shi,zqshi@mail.tsinghua.edu.cn
Stanley Osher,UCLA
Benjamin Planche,Siemens Corporate Technology
Xuejian Rong,City University of New York
Ziyan Wu,United Imaging Intelligence
Srikrishna Karanam,United Imaging Intelligence
Harald Kosch,PASSAU
YingLi Tian,City University of New York
Jan Ernst,Siemens Research
ANDREAS HUTTER,"Siemens Corporate Technology, Germany"
Shikun Liu,Imperial College London
Andrew Davison,Imperial College London
Edward Johns,Imperial College London
Zongsheng Yue,Xi'an Jiaotong University
Hongwei Yong,The Hong Kong Polytechnic University
Qian Zhao,Xi'an Jiaotong University
Deyu Meng,Xi'an Jiaotong University
Lei Zhang,The Hong Kong Polytechnic Univ
Yasutoshi Ida,NTT
Yasuhiro Fujiwara,NTT Communication Science Laboratories
Hisashi Kashima,Kyoto University/RIKEN Center for AIP
Lin Song,Xi'an Jiaotong University
Yanwei Li,"Institute of Automation, Chinese Academy of Sciences"
Zeming Li,Megvii(Face++) Inc
Gang Yu,Megvii Inc
Hongbin Sun,Xi'an Jiaotong University
Nanning Zheng,Xi'an Jiaotong University
Yuki Yoshida,The University of Tokyo
Masato Okada,The University of Tokyo
Talfan Evans,University College London
Neil Burgess,University College London
Hao Zheng,East China Normal University
Faming Fang,East China Normal University
Guixu Zhang,East China Normal University
Aaron Defazio,Facebook AI Research
Leon Bottou,Facebook AI Research
Jiezhang Cao,South China University of Technology
Langyuan Mo,South China University of Technology
Yifan   Zhang,South China University of Technology
Kui Jia,South China University of Technology
Kamil Ciosek,Microsoft
Quan Vuong,University of California San Diego
Robert Loftin,Microsoft Research
Katja Hofmann,Microsoft Research
Matthew Schlegel,University of Alberta
Wesley Chung,McGill University
Daniel Graves,Huawei Technologies Canada
Jian Qian,University of Alberta
Martha White,University of Alberta
Songbai Yan,"University of California, San Diego"
Kamalika Chaudhuri,UCSD
Tara Javidi,University of California San Diego
Khurram Javed,University of Alberta
Haichao Zhang,Horizon Robotics
Jianyu Wang,Baidu USA
Scott Gigante,Yale University
Adam S Charles,Princeton University
Smita Krishnaswamy,Yale University
Gal Mishne,UC San Diego
Alex Lu,University of Toronto
Amy Lu,University of Toronto/Vector Institute
Wiebke Schormann,Sunnybrook Research Institute
David Andrews,Sunnybrook Research Institute
Alan Moses,University of Toronto
Changxiao Cai,Princeton University
Gen Li,Tsinghua University
H. Vincent Poor,Princeton University
Yuxin Chen,Caltech
Gautam Goel,Caltech
Yiheng Lin,"Institute for Interdisciplinary Information Sciences, Tsinghua University"
Haoyuan Sun,California Institute of Technology
Adam Wierman,California Institute of Technology
Weizhe Hua,Cornell University
Yuan Zhou,Indiana University Bloomington
Christopher De Sa,Cornell
Zhiru Zhang,Cornell Univeristy
G. Edward Suh,Cornell University
Guruprasad Raghavan,California Institute of Technology
Matt Thomson,California Institute of Technology
Xinyang Chen,Tsinghua University
Sinan Wang,Tsinghua University
Bo Fu,Tsinghua University
Mingsheng Long,Tsinghua University
Jianmin Wang,Tsinghua University
Jun Shu,Xi'an Jiaotong University
Qi Xie,Xi'an Jiaotong University
Lixuan Yi,Xi'an Jiaotong University
Sanping Zhou,Xi'an Jiaotong University
Fuhai Chen,Xiamen University
Jiayi Ji,Xiamen University
Xiaoshuai Sun,Xiamen University
Baochang Zhang,Beihang University
Xuri Ge,Xiamen University
Yongjian Wu,"Tencent Technology (Shanghai) Co.,Ltd"
Feiyue Huang,Tencent
Yan Wang,Microsoft
Zhiao Huang,University of California San Diego
Hao Su,University of California San Diego
Fangchen Liu,"University of California, San Diego"
Ximei Wang,Tsinghua University
Ying Jin,Tsinghua University
Michael Jordan,UC Berkeley
Giacomo De Palma,MIT
Bobak Kiani,Massachusetts Institute of Technology
Seth Lloyd,MIT
Niv Nayman,Alibaba Group
Asaf Noy,Alibaba
Tal Ridnik,MIIL Alibaba
Itamar Friedman,Alibaba
Rong Jin,Alibaba
Lihi Zelnik,Alibaba
Wei-Da Chen,National Tsing Hua University
Shan-Hung,Brandon) Wu (National Tsing Hua University
Shangtong Zhang,University of Oxford
Wendelin Boehmer,University of Oxford
Shimon Whiteson,University of Oxford
Matan Atzmon,Weizmann Institute Of Science
Niv Haim,Weizmann Institute of Science
Lior Yariv,Weizmann Institute of Science
Ofer Israelov,Weizmann Institute of Science
Haggai Maron,NVIDIA Research
Yaron Lipman,Weizmann Institute of Science
Cyrille Combettes,Georgia Institute of Technology
Sebastian Pokutta,Zuse Institute Berlin
Difan Zou,"University of California, Los Angeles"
Quanquan Gu,UCLA
Bowen Li,University of Oxford
Xiaojuan Qi,University of Oxford
Thomas Lukasiewicz,University of Oxford
Philip Torr,University of Oxford
Wenlin Wang,Citadel
Chenyang Tao,Duke University
Zhe Gan,Microsoft
Guoyin Wang,Duke University
Liqun Chen,Duke University
Xinyuan Zhang,Duke University
Ruiyi Zhang,Duke University
Qian Yang,Duke University
Ricardo Henao,Duke University
Lawrence Carin,Duke University
Yuchen Mo,Columbia University
Chang Xiao,Columbia University
Pengyu Chen,Columbia University
Changxi Zheng,Columbia University
Ruoqi Shen,University of Washington
Yin Tat Lee,UW
Su Young Lee,KAIST
Choi Sungik,KAIST
Sae-Young Chung,KAIST
Takahiro Omi,The University of Tokyo & RIKEN AIP
naonori ueda,RIKEN AIP
Kazuyuki Aihara,The University of Tokyo
Zhonghui You,Peking University
Kun Yan,Peking University
Jinmian Ye,SMILE Lab
Meng Ma,Peking University
Ping Wang,Peking University
Faidra Georgia Monachou,Stanford University
Itai Ashlagi,Stanford
Heli Ben-Hamu,Weizmann Institute of Science
Hadar Serviansky,Weizmann Institute of Science
Arsalan Sharifnassab,Sharif University of Technology
Saber Salehkaleybar,Sharif University of Technology
S. Jamaloddin Golestani,Sharif University of Technology
Jie Hu,Xiamen University
ShengChuan Zhang,Xiamen University
Chia-Wen Lin,National Tsing Hua University
Qi Tian,Huawei Noah’s Ark Lab
Soeren Laue,Friedrich Schiller University Jena / Data Assessment Solutions
Matthias Mitterreiter,Friedrich Schiller University Jena
Joachim Giesen,Friedrich-Schiller-Universitat Jena
Alexis Bellot,University of Cambridge / Alan Turing Institute
Mihaela van der Schaar,"University of Cambridge, Alan Turing Institute and UCLA"
Aviv Rosenberg,Tel Aviv University
Yishay Mansour,Tel Aviv University / Google
Xiangyu Zheng,Peking University
Song Xi Chen,Peking University
Xindian Ma,Tianjin University
Peng Zhang,Tianjin University
Shuai Zhang,Tianjin University
Nan Duan,Microsoft Research Asia
Yuexian Hou,Tianjin University
Ming Zhou,Microsoft Research
Dawei Song,Beijing Institute of Technology
Jen Ning Lim,Max Planck Institute for Intelligent Systems
Makoto Yamada,Kyoto University / RIKEN AIP
Bernhard Schölkopf,MPI for Intelligent Systems
Wittawat Jitkrittum,Max Planck Institute for Intelligent Systems
Amir Dezfouli,"Data61, CSIRO"
Hassan Ashtiani,McMaster University
Omar Ghattas,The University of Texas at Austin
Peter Dayan,Max Planck Institute for Biological Cybernetics
Cheng Soon Ong,Data61 and Australian National University
Quanfu Fan,MIT-IBM Watson AI Lab
Chun-Fu,Richard) Chen (IBM Research
Hilde Kuehne,University of Bonn
Marco Pistoia,IBM Research
David Cox,MIT-IBM Watson AI Lab
Dror Simon,Technion
Michael Elad,Technion
Weishi Shi,Rochester Institute of Technology
Qi Yu,Rochester Institute of Technology
Deepak Pathak,"UC Berkeley, FAIR, CMU"
Christopher Lu,UC Berkeley and Covariant.ai
Trevor Darrell,UC Berkeley
Phillip Isola,Massachusetts Institute of Technology
Alexei Efros,UC Berkeley
Kristof Meding,University Tübingen
Dominik Janzing,Amazon
Felix A. Wichmann,University of Tübingen
Ofir Nachum,Google Brain
Yinlam Chow,Google Research
Bo Dai,Google Brain
Lihong Li,Google Brain
Eliya Nachmani,Tel Aviv University and Facebook AI Research
Lior Wolf,Facebook AI Research
Adrian Rivera Cardoso,Georgia Tech
He Wang,Georgia Institute of Technology
Srinath Sridhar,Stanford University
Davis Rempe,Stanford University
Julien Valentin,Google
Bouaziz Sofien,
Virag Shah,Stanford
Ramesh Johari,Stanford University
Jose Blanchet,Stanford University
Alan Kuhnle,Florida State University
Rebekka Burkholz,Harvard University
Alina Dubatovka,ETH Zurich
Jie Ding,University of Minnesota
Robert Calderbank,Duke University
